Company_name	Company_ID	Big3Share	Position	Exchange	TypeEnt	Assets	MarketCap	Revenue	Country
CASCADE BANCORP	US931034484	4.8599999999999985	5	NASDAQ National Market	Bank	6.392350434435463	5.617284532668823	5.018321781884911	US
CASCADE MICROTECH, INC.	US930856709	5.58	7	NASDAQ National Market	Industrial company	5.121599234190875	5.520393127195239	5.158299152864708	US
CASELLA WASTE SYSTEMS INC	US030338873	10.54	3	NASDAQ National Market	Industrial company	5.801863146697804	5.460219573549431	5.737590960968402	US
CASEYS GENERAL STORES INC	US420935283	19.53	1	NASDAQ National Market	Industrial company	6.392690975075855	6.670700139830119	6.890265438614827	US
CASH AMERICA INTERNATIONAL INC	US752018239	20.840000000000003	1	New York Stock Exchange (NYSE)	Financial company	6.139563636306674	5.942221425314807	6.012622976141661	US
CASI PHARMACEUTICALS INC	US581959440	1.55	7	NASDAQ National Market	Industrial company	3.76544501809015	4.712034857745897	1.6901960800285136	US
CASS INFORMATION SYSTEMS, INC.	US431265338	10.71	1	NASDAQ National Market	Bank	6.16301429844131	5.735255479712433	5.079069038812408	US
CASTLE BRANDS INC.	US412103550	1.88	10	NYSE MKT	Industrial company	4.643847310299714	5.158458991258385	4.759350504982058	US
CASTLIGHT HEALTH, INC.	US261989091	4.76	8	New York Stock Exchange (NYSE)	Industrial company	5.238735907519131	5.260655622025968	4.876887246766067	US
CATABASIS PHARMACEUTICALS, INC.	US263687168	1.82	13	NASDAQ National Market	Industrial company	4.807697350807391	4.9977008500240805	0.0	US
CATALENT, INC.	US208737688	17.950000000000006	2	New York Stock Exchange (NYSE)	Industrial company	6.4966945952005455	6.557974088104021	6.262641140970885	US
CATALYST BIOSCIENCES, INC.	US562020050	0.0	109	NASDAQ National Market	Industrial company	4.8421222573484055	4.2702594755266245	3.243286146083446	US
CATALYST PHARMACEUTICALS, INC.	US760837053	5.91	3	NASDAQ National Market	Industrial company	4.778896150054801	4.703738342355932	0.0	US
CATERPILLAR INC	US370602744	21.58	1	New York Stock Exchange (NYSE)	Industrial company	7.893994660040032	7.623423407576982	7.672199498670661	US
CATHAY GENERAL BANCORP INC	US954274680	20.58	1	NASDAQ National Market	Bank	7.122351127650503	6.384048781392758	5.616178180355617	US
CATO CORP	US560484485	21.58	2	New York Stock Exchange (NYSE)	Industrial company	5.807768347932068	5.997776375209691	6.004790674161237	US
CAVCO INDUSTRIES, INC.	US562405642	14.71	1	NASDAQ National Market	Industrial company	5.701207794381792	5.950979831563647	5.75332255728171	US
CAVIUM, INC.	US770558625	14.35	1	NASDAQ National Market	Industrial company	5.63748372539983	6.446039213785508	5.6156818209159045	US
CB FINANCIAL SERVICES, INC.	US*S00181562	1.13	10	NASDAQ National Market	Financial company		4.956538191994259		US
CBIZ, INC.	US222769024	12.97	1	New York Stock Exchange (NYSE)	Industrial company	5.998404079128889	5.744977142456991	5.875306136431785	US
CBL & ASSOCIATES PROPERTIES INC	US621545718	22.77	1	New York Stock Exchange (NYSE)	Financial company	6.811574469704236	6.211566358964497	6.023260280980492	US
CBOE HOLDINGS, INC.	US205446972	16.759999999999998	1	NASDAQ National Market	Financial company	5.585222648325276	6.716172268034979	5.8024631107838145	US
CBRE GROUP, INC.	US943391143	16.55	1	New York Stock Exchange (NYSE)	Industrial company	7.042100560689981	6.994766966652341	7.035662273637348	US
CBS CORPORATION	US042949533	14.87	2	New York Stock Exchange (NYSE)	Industrial company	7.375937836905319	7.357710727515245	7.142577192196241	US
CCA INDUSTRIES, INC.	US042795439	0.71	10	NYSE MKT	Industrial company	4.282214133062335	4.2942016006947465	4.394294045352843	US
CDI CORP	US232394430	12.44	2	New York Stock Exchange (NYSE)	Industrial company	5.530325228316791	5.078474943488152	5.993654425187843	US
CDK GLOBAL, INC.	US465743146	18.94	1	NASDAQ National Market	Industrial company	6.40114212763542	6.932897400992646	6.314604683678362	US
CDW CORP	US260273989	12.86	1	NASDAQ National Market	Industrial company	6.829644704908999	6.841920686743826	7.11356571945322	US
CEB INC.	US522056410	20.21	1	New York Stock Exchange (NYSE)	Industrial company	6.126635571751449	6.310024897919456	5.967751504059143	US
CECO ENVIRONMENTAL CORP.	US132566064	8.72	2	NASDAQ National Market	Industrial company	5.777296296922495	5.437393787633774	5.565166338851765	US
CEDAR FAIR L P	US341560655	0.0	143	New York Stock Exchange (NYSE)	Industrial company	6.292924945619027	6.524693469812394	6.091940810831941	US
CEDAR REALTY TRUST, INC.	US421241468	25.39	1	New York Stock Exchange (NYSE)	Financial company	6.120040935513072	5.768752023868662	5.173792109079762	US
CEL SCI CORP	US840916344	3.5	2	NYSE MKT	Industrial company	4.188900373175912	4.833376634237463	2.8182258936139557	US
CELADON GROUP, INC.	US133361050	15.3	1	New York Stock Exchange (NYSE)	Industrial company	6.07029282425944	5.439998627631137	5.954607645814934	US
CELANESE CORPORATION	US980420726	13.77	1	New York Stock Exchange (NYSE)	Industrial company	6.933790934725118	7.019827825522217	6.753889408000976	US
CELATOR PHARMACEUTICALS, INC.	US202680869	1.87	14	NASDAQ National Market	Industrial company	4.408850262912029	5.871867618763974	0.0	US
CELGENE CORP	US222711928	16.86	1	NASDAQ National Market	Industrial company	7.430790777107619	7.9161423976744505	6.9664233928640105	US
CELLDEX THERAPEUTICS, INC.	US133191702	22.17	1	NASDAQ National Market	Industrial company	5.528383141265363	5.630887353437225	3.7388598020722004	US
CELLECTAR BIOSCIENCES, INC.	US043321804	0.0	120	NASDAQ National Market	Industrial company	3.8806421264042847	4.063520999689991	0.0	US
CELLULAR BIOMEDICINE GROUP, INC.	US861032927	5.2200000000000015	5	NASDAQ National Market	Financial company	4.694262892657943	5.307825377786355	3.398981066658131	US
CELSION CORP	US521256615	7.02	3	NASDAQ National Market	Industrial company	4.690692133174281	4.519132040445512	2.699837725867246	US
CEMPRA, INC.	US262644445	12.090000000000002	2	NASDAQ National Market	Industrial company	5.209890168681258	5.944553239270054	4.436321700139733	US
CEMTREX INC.	US300399914	0.16	5	NASDAQ National Market	Industrial company	4.35305023964259	4.2389238459924155	4.755020665632211	US
CENTENE CORPORATION	US421406317	20.03	1	New York Stock Exchange (NYSE)	Insurance company	6.865636946875872	7.0225738952561185		US
CENTER BANCORP INC	US521273725	8.62	2	NASDAQ National Market	Bank		5.690839068694983	4.795886966000197	US
CENTERPOINT ENERGY, INC.	US740694415	21.88	1	New York Stock Exchange (NYSE)	Industrial company	7.329072311111648	6.986469189813896	6.868409362114642	US
CENTERSTATE BANKS, INC	US593606741	12.91	1	NASDAQ National Market	Bank	6.60451958878888	5.8795230793457325	5.284331455187806	US
CENTRAL FEDERAL CORPORATION	US341877137	0.73	12	NASDAQ National Market	Bank	4.641007836530388	4.350926073869093	3.4913616938342726	US
CENTRAL GARDEN & PET COMPANY	US680275553	17.67	2	NASDAQ National Market	Industrial company	6.053692171208309	5.3476948645730715	6.217678148863282	US
CENTRAL PACIFIC FINANCIAL CORP.	US990212597	23.51	1	New York Stock Exchange (NYSE)	Bank	6.710226475300628	5.867432719337861	5.275341304852634	US
CENTRAL VALLEY COMMUNITY BANCORP	US770539125	0.29	20	NASDAQ National Market	Bank	6.10610144447392	5.188005506337053	4.701179277324034	US
CENTRUE FINANCIAL CORPORATION	US363145350	0.0	117	NASDAQ National Market	Bank	5.15357098143378	5.044280988044567	4.561876217899017	US
CENTRUS ENERGY CORP.	US522107911	0.14	16	NYSE MKT	Industrial company	5.914184962598606	4.332074712247686	5.6213850669655425	US
CENTURY ALUMINUM CO	US133070826	10.82	2	NASDAQ National Market	Industrial company	6.243650344328844	5.75936184253679	6.29000298466408	US
CENTURY BANCORP, INC.	US042498617	5.51	2	NASDAQ National Market	Bank	6.596315757612567	5.184577874932025	4.934261039379189	US
CENTURY CASINOS, INC.	US841271317	4.89	8	NASDAQ National Market	Industrial company	5.272036646886223	5.147614498562027	5.128502659857898	US
CENTURY COMMUNITIES, INC.	US680521411	6.5600000000000005	5	New York Stock Exchange (NYSE)	Industrial company	5.962720607427184	5.5790916030768445	5.865985887295256	US
CENTURYLINK, INC.	US720651161	19.02	1	New York Stock Exchange (NYSE)	Industrial company	7.6776434556448425	7.165530812537506	7.252853055242154	US
CENVEO, INC.	US841250533	6.0	6	New York Stock Exchange (NYSE)	Industrial company	6.033389975713571	4.831709842596903	6.240993299454779	US
CEPHEID	US770441625	15.66	1	NASDAQ National Market	Industrial company	5.9113770984522125	6.313660354173682	5.731247802869835	US
CERECOR INC.	US450705648	0.0	106	NASDAQ National Market	Industrial company	4.335638401296343	4.328012438855587	0.0	US
CERES, INC.	US330727287	0.0	112	NASDAQ National Market	Industrial company	4.046221937221636	3.6456187382426952	3.4347285417797577	US
CERNER CORP	US431196944	16.490000000000002	1	NASDAQ National Market	Industrial company	6.745229813290095	7.271589875038161	6.645939577270384	US
CERULEAN PHARMA INC.	US204139823	2.1100000000000003	14	NASDAQ National Market	Industrial company	4.893351123645728	4.811936767225874	0.0	US
CERUS CORP	US680262011	11.59	2	NASDAQ National Market	Industrial company	5.144272120027603	5.74851982529631	4.534330767227453	US
CESCA THERAPEUTICS INC.	US943018487	1.73	7	NASDAQ National Market	Industrial company	4.705504501403834	4.000867721531227	4.205285583500525	US
CEVA, INC.	US770556376	20.090000000000003	1	NASDAQ National Market	Industrial company	5.327665387050042	5.749818221039218	4.77451696572855	US
CF INDUSTRIES HOLDINGS, INC.	US202697511	18.880000000000006	1	New York Stock Exchange (NYSE)	Industrial company	7.103222026695175	6.810010204516337	6.634306037725403	US
CHAMPIONS ONCOLOGY, INC.	US521401755	0.0	111	NASDAQ National Market	Industrial company	4.080914958856625	4.4594678795625455	3.9476297473843545	US
CHANNELADVISOR CORPORATION	US562257867	10.53	3	New York Stock Exchange (NYSE)	Industrial company	5.117128717576999	5.4949236717788725	5.002537537918158	US
CHANTICLEER HOLDINGS, INC.	US202932652	0.52	11	NASDAQ National Market	Industrial company	4.625374194603022	4.053692938784954	4.627345370520798	US
CHARLES & COLVARD LTD	US561928817	2.71	5	NASDAQ National Market	Industrial company	4.6448520064261425	4.336879815598422	4.488099266894404	US
CHARLES RIVER LABORATORIES INTERNATIONAL INC	US061397316	20.42	1	New York Stock Exchange (NYSE)	Industrial company	6.315655105318848	6.608439807936185	6.134592390393421	US
CHARLES SCHWAB CORPORATION	US943025021	13.14	1	New York Stock Exchange (NYSE)	Bank	8.26415171129742	7.607276947420094	6.8039349180740585	US
CHART INDUSTRIES INC	US341712937	21.49	1	NASDAQ National Market	Industrial company	6.079896157459856	5.895372814816356	6.017100566221818	US
CHARTER COMMUNICATIONS INC	US431857213	8.799999999999997	3	NASDAQ National Market	Industrial company	7.594569337441991	7.359294895075343	6.9891827957803025	US
CHARTER FINANCIAL CORPORATION	US582659667	10.02	1	NASDAQ National Market	Bank	6.011604272424363	5.302941023602914	4.677679937256738	US
CHASE CORP	US111797126	7.92	4	NYSE MKT	Industrial company	5.411447974195589	5.733686674334263	5.376662712625671	US
CHECKPOINT SYSTEMS INC	US221895850	18.13	1	New York Stock Exchange (NYSE)	Industrial company	5.818140742427639	5.628216199781801	5.768754982499635	US
CHEESECAKE FACTORY INCORPORATED	US510340466	18.09	1	NASDAQ National Market	Industrial company	6.0910852817730365	6.385587328652151	6.322345428622008	US
CHEFS' WAREHOUSE, INC. (THE)	US203031526	7.33	7	NASDAQ National Market	Industrial company	5.768059890290464	5.61445742838713	6.02489472980976	US
CHEGG, INC.	US203237489	7.73	9	New York Stock Exchange (NYSE)	Industrial company	5.464425456697161	5.638791660217256	5.479105782339629	US
CHEMBIO DIAGNOSTICS, INC.	US880425691	1.51	4	NASDAQ National Market	Industrial company	4.318418142209945	4.915003882154692	4.38481918395196	US
CHEMED CORPORATION	US310791746	20.67	1	New York Stock Exchange (NYSE)	Industrial company	5.93060573669357	6.332528743383398	6.188475400633175	US
CHEMICAL FINANCIAL CORPORATION	US382022454	13.8	1	NASDAQ National Market	Bank	6.963258704410161	6.180641902729832	5.530222757474889	US
CHEMOCENTRYX, INC.	US943254365	7.0	7	NASDAQ National Market	Industrial company	4.892962324221707	5.362316566700712	0.0	US
CHEMOURS COMPANY (THE)	US464845564	16.84	1	New York Stock Exchange (NYSE)	Industrial company	6.799202725258043	6.220227110276769	6.757168268179717	US
CHEMTURA CORPORATION	US522183153	17.21	1	New York Stock Exchange (NYSE)	Industrial company	6.372912186993153	6.234205623631088	6.241795680174486	US
CHEMUNG FINANCIAL CORPORATION	US161237038	1.51	9	NASDAQ National Market	Bank	6.209549595874544	5.1793679238966055	4.851313396643395	US
CHENIERE ENERGY INC	US954352386	12.91	4	NYSE MKT	Industrial company	7.274366953290339	6.8874730366041375	5.432786560293924	US
CHENIERE ENERGY PARTNERS LP HOLDINGS, LLC	US364767730	0.0	125	NYSE MKT	Industrial company	3.077731179652392	6.658509642625997	4.308329596317398	US
CHENIERE ENERGY PARTNERS, L.P.	US205913059	0.0	120	NYSE MKT	Industrial company	7.108333405904064	6.219654720131878	5.431410408098432	US
CHEROKEE INC	US954182437	7.81	5	NASDAQ National Market	Industrial company	4.848490862207165	5.08196985430465	4.539765903183112	US
CHERRY HILL MORTGAGE INVESTMENT CORPORATION	US461315605	2.06	9	New York Stock Exchange (NYSE)	Financial company	5.803689906106121	5.063686056503674	4.400917723075448	US
CHESAPEAKE ENERGY CORP	US731395733	15.39	1	New York Stock Exchange (NYSE)	Industrial company	7.238397438264698	6.454534647745623	7.105986829546423	US
CHESAPEAKE LODGING TRUST	US270372343	25.53	1	New York Stock Exchange (NYSE)	Financial company	6.319682028688158	6.147973273941481	5.765389115940642	US
CHESAPEAKE UTILITIES CORP	US510064146	12.39	1	New York Stock Exchange (NYSE)	Industrial company	6.028336149545084	5.949407085305578	5.662044436650725	US
CHEVIOT FINANCIAL CORP	US562423720	2.2	10	NASDAQ National Market	Bank	5.757396788048448	5.009081035611538	4.242491735011311	US
CHEVRON CORPORATION	US940890210	18.1	1	New York Stock Exchange (NYSE)	Industrial company	8.422491350851663	8.283928087319119	8.112765824912834	US
CHIASMA, INC.	US760722250	4.35	8	NASDAQ National Market	Industrial company	5.185000719995821	4.877008322140324	0.0	US
CHICAGO RIVET & MACHINE CO	US360904920	1.36	8	NYSE MKT	Industrial company	4.478912638929306	4.407050814804251	4.558420545001285	US
CHICOPEE BANCORP INC	US204840562	2.42	10	NASDAQ National Market	Bank	5.831597855365025	4.9800852204220485	4.374638384120188	US
CHICOS FAS INC	US592389435	21.07	1	New York Stock Exchange (NYSE)	Industrial company	6.066718290632626	6.158729074900114	6.421983768385058	US
CHILDREN'S PLACE, INC. (THE)	US311241495	23.17	1	NASDAQ National Market	Industrial company	5.953251671135507	6.137281300799095	6.236984928357226	US
CHIMERA INVESTMENT CORPORATION	US260630461	13.96	1	New York Stock Exchange (NYSE)	Financial company	7.185956902040211	6.448755155969254	5.940883886051543	US
CHIMERIX, INC.	US330903395	15.29	1	NASDAQ National Market	Industrial company	5.551441458390679	5.345103069990142	4.0319333402756055	US
CHINA ADVANCED CONSTRUCTION MATERIALS GROUP, INC	US208468508	0.0	103	NASDAQ National Market	Industrial company	5.1077728304029035	3.684665864025861	4.744073824312322	US
CHINA AUTO LOGISTICS INC.	US202574314	0.0	105	NASDAQ National Market	Industrial company	5.459730141063663	3.670338641127442	5.651406926038025	US
CHINA AUTOMOTIVE SYSTEMS, INC.	US330885775	0.0	116	NASDAQ National Market	Industrial company	5.7836863777268706	5.101186665056354	5.646926917169799	US
CHINA BAK BATTERY, INC.	US880442833	0.0	103	NASDAQ National Market	Industrial company	4.801870000281769	4.6527296960692475	4.143170993200179	US
CHINA BIOLOGIC PRODUCTS, INC.	US752308816	3.09	12	NASDAQ National Market	Industrial company	5.7415203167279305	6.494365426213192	5.47196463933609	US
CHINA COMMERCIAL CREDIT INC	US*S00170040	0.0	105	NASDAQ National Market	Industrial company		3.808346035740395		US
CHINA GREEN AGRICULTURE, INC.	US363526027	0.3	10	New York Stock Exchange (NYSE)	Industrial company	5.633048097549245	4.7078681191069585	5.42054156819111	US
CHINA HGS REAL ESTATE INC	US330961490	0.0	103	NASDAQ National Market	Financial company	5.474858486530516	4.879038505237237	4.880367640113693	US
CHINA HOUSING & LAND DEVELOPMENT, INC.	US201334845	0.0	106	NASDAQ National Market	Financial company	5.796941871056464	4.317520127284809	5.142167255763249	US
CHINA JO-JO DRUGSTORES, INC.	US980557582	0.0	109	NASDAQ National Market	Industrial company	4.774589950264795	4.458380972856778	4.885909396903378	US
CHINA PHARMA HOLDINGS, INC.	US731564807	0.0	107	NYSE MKT	Industrial company	4.987769017924946	3.9914918889101596	4.308628432599053	US
CHINA RECYCLING ENERGY CORPORATION	US900093373	0.0	105	NASDAQ National Market	Industrial company	5.500889347229826	4.220578754632829	4.386623796125078	US
CHINA XD PLASTICS COMPANY LIMITED	US043836208	0.0	116	NASDAQ National Market	Industrial company	6.243529887766987	5.280371188893445	5.999649817505075	US
CHINA YIDA HOLDING, CO.	US223662292	0.0	106	NASDAQ National Market	Industrial company	5.339884525968557	4.069853021113625	4.161667412437736	US
CHINANET ONLINE HOLDINGS, INC.	US204672080	0.0	103	NASDAQ National Market	Industrial company	4.549750978539526	4.1906957924917325	4.508745129469547	US
CHIPOTLE MEXICAN GRILL INC.	US841219301	20.67	1	New York Stock Exchange (NYSE)	Industrial company	6.435377184547552	7.114163851104113	6.653330625811913	US
CHOICE HOTELS INTERNATIONAL INC	US521209792	6.9300000000000015	11	New York Stock Exchange (NYSE)	Industrial company	5.85552581843301	6.411965152481643	5.934437342720937	US
CHRISTOPHER & BANKS CORP	US061195422	11.31	1	New York Stock Exchange (NYSE)	Industrial company	5.178663336747745	4.847948802504038	5.584137784532272	US
CHROMADEX CORP.	US262940963	0.0	105	NASDAQ National Market	Industrial company	4.273001272063738	5.273059174134605	4.342718689795545	US
CHS INC.	US410251095	0.0	101	NASDAQ National Market	Industrial company	7.182651794644552	5.593930383190925	7.538855669792244	US
CHURCH & DWIGHT CO INC	US134996950	21.23	1	New York Stock Exchange (NYSE)	Industrial company	6.629093550188022	7.100307257596283	6.530814321433924	US
CHURCHILL DOWNS INC	US610156015	11.24	3	NASDAQ National Market	Industrial company	6.357447897616528	6.330095038501504	6.083610821641933	US
CHUY'S HOLDINGS, INC.	US205717694	10.69	2	NASDAQ National Market	Industrial company	5.302032058979127	5.74097500766576	5.457977219207204	US
CIBER INC	US382046833	14.55	1	New York Stock Exchange (NYSE)	Industrial company	5.700938968355779	5.000195388557727	5.895950450921453	US
CIDARA THERAPEUTICS, INC.	US461537286	2.55	12	NASDAQ National Market	Industrial company	5.0412939706489	5.192754176542633	0.0	US
CIENA CORP	US232725311	22.67	1	New York Stock Exchange (NYSE)	Industrial company	6.430567149149915	6.373985003134344	6.388397856278495	US
CIFC LLC	US364814372	0.0	100	NASDAQ National Market	Financial company	6.242343615287429	5.24788001798839	5.088203443437716	US
CIGNA CORPORATION	US061059331	16.97	1	New York Stock Exchange (NYSE)	Insurance company	7.756544835967467	7.51909285006276		US
CIMAREX ENERGY CO.	US450466694	20.69	1	New York Stock Exchange (NYSE)	Industrial company	6.719603630192264	7.048206723693854	6.162152019330982	US
CINCINNATI BELL INC	US311056105	20.93	1	New York Stock Exchange (NYSE)	Industrial company	6.1602887133900905	5.905543862510838	6.067368842806257	US
CINCINNATI FINANCIAL CORPORATION	US310746871	22.06	1	NASDAQ National Market	Insurance company	7.276185997063813	7.056720008275037		US
CINEDIGM CORP.	US223720962	0.16	24	NASDAQ National Market	Industrial company	5.4361912808977975	4.020112569565467	5.023190707213023	US
CINEMARK HOLDINGS INC	US205490327	16.599999999999998	1	New York Stock Exchange (NYSE)	Industrial company	6.6155816389548345	6.625960938362375	6.455242400319671	US
CINER RESOURCES LP	US462613366	0.0	119	New York Stock Exchange (NYSE)	Industrial company	5.626546685241611	5.444914076538687	5.686994459138929	US
CINTAS CORP	US311188630	17.9	1	NASDAQ National Market	Industrial company	6.622469031310664	7.0075316435256125	6.65097613260194	US
CIRCOR INTERNATIONAL INC	US043477276	20.09	1	New York Stock Exchange (NYSE)	Industrial company	5.826020350426911	5.965522950687782	5.817081228327869	US
CIRRUS LOGIC INC	US770024818	22.78	1	NASDAQ National Market	Industrial company	6.060236487946729	6.347150404732719	5.962165164542403	US
CISCO SYSTEMS INC	US770059951	16.84	1	NASDAQ National Market	Industrial company	8.054923157991448	8.162741409667603	7.691620717264669	US
CIT GROUP, INC	US651051192	14.37	1	New York Stock Exchange (NYSE)	Bank	7.8292960584057125	6.835429155333716	6.4534713865896745	US
CITI TRENDS, INC.	US522150697	12.68	1	NASDAQ National Market	Industrial company	5.497633077744441	5.382380904568291	5.83492401547757	US
CITIGROUP INC	US521568099	16.169999999999998	1	New York Stock Exchange (NYSE)	Bank	9.238349752302728	8.135797125593937	7.884336485117486	US
CITIZENS & NORTHERN CORP	US232451943	11.18	1	NASDAQ National Market	Bank		5.389272429175553	4.795886966000197	US
CITIZENS COMMUNITY BANCORP, INC.	US205120010	0.0	115	NASDAQ National Market	Bank	4.787013906465163	4.702947246181556	3.350441856535061	US
CITIZENS FINANCIAL GROUP INC	US050412693	15.48	1	New York Stock Exchange (NYSE)	Bank		7.096167395016831	6.477121399484465	US
CITIZENS FIRST CORPORATION	US610912615	0.0	114	NASDAQ National Market	Bank	4.671700342816553	4.450680108762096	3.228400358703005	US
CITIZENS HOLDING COMPANY	US640666512	0.52	10	NASDAQ National Market	Bank	4.936644413287853	5.031590223901659	3.341038631677523	US
CITIZENS INC	US840755371	10.02	1	New York Stock Exchange (NYSE)	Insurance company	6.171445899479254	5.581327167214364	5.295986898249901	US
CITRIX SYSTEMS INC	US752275152	18.9	1	NASDAQ National Market	Industrial company	6.7388945854406925	7.122583578190825	6.515290199517458	US
CITY HOLDING CO	US550619957	19.85	1	NASDAQ National Market	Bank		5.868980460524342	5.243040530361958	US
CIVISTA BANCSHARES INC	US341558688	0.63	14	NASDAQ National Market	Bank		4.96214668492423	4.795886966000197	US
CIVITAS SOLUTIONS, INC.	US651309110	3.45	6	New York Stock Exchange (NYSE)	Industrial company	6.026608840711968	5.910886289783961	6.135751676196381	US
CKX LANDS, INC.	US720144530	0.0	112	NYSE MKT	Financial company	4.151001907992831	4.349083168779591	3.0265332645232967	US
CLARCOR INC	US360922490	24.67	1	New York Stock Exchange (NYSE)	Industrial company	6.259703036001941	6.458143907592553	6.170562976039187	US
CLAYTON WILLIAMS ENERGY INC	US752396863	7.4	6	New York Stock Exchange (NYSE)	Industrial company	6.109720588923552	5.495038985523068	5.349578611644096	US
CLEAN DIESEL TECHNOLOGIES, INC.	US061393453	2.53	3	NASDAQ National Market	Industrial company	4.399725626086232	3.8695250628572273	4.59921693423967	US
CLEAN ENERGY FUELS CORP.	US330968580	12.029999999999998	2	NASDAQ National Market	Industrial company	6.0002296810356475	5.519762385424222	5.584694115754861	US
CLEAN HARBORS INC	US042997780	14.499999999999998	1	New York Stock Exchange (NYSE)	Industrial company	6.535475017294236	6.471030909356288	6.515229603984546	US
CLEANTECH SOLUTIONS INTERNATIONAL, INC.	US742235008	0.0	106	NASDAQ National Market	Financial company	4.97593704248311	3.617105230502378	4.695192634400957	US
CLEAR CHANNEL OUTDOOR HOLDINGS, INC.	US860812139	1.28	5	New York Stock Exchange (NYSE)	Industrial company	6.7998083014755535	5.47405738233763	6.448119394103877	US
CLEARFIELD, INC.	US411347235	8.850000000000003	2	NASDAQ National Market	Industrial company	4.760641083606171	5.390491759279898	4.780497330580824	US
CLEARONE INC.	US870398877	1.69	6	NASDAQ National Market	Industrial company	4.970950934345424	5.013545011452959	4.761905296599443	US
CLEARSIGN COMBUSTION CORPORATION	US262056298	0.7	8	NASDAQ National Market	Industrial company	4.152380087047603	4.706444662615846	1.792391689498254	US
CLEARWATER PAPER CORP	US203594554	20.62	1	New York Stock Exchange (NYSE)	Industrial company	6.183944256109182	6.023275923251495	6.243633740162648	US
CLEVELAND BIOLABS, INC.	US200077155	0.79	7	NASDAQ National Market	Industrial company	4.319772091426363	4.385302339856317	3.4328090050331683	US
CLIFFS NATURAL RESOURCES INC.	US341464672	14.94	1	New York Stock Exchange (NYSE)	Industrial company	6.329499779131787	5.747029398277003	6.3039087092486525	US
CLIFTON BANCORP INC	US258721424L	8.51	2	NASDAQ National Market	Financial company		5.572381292718848	4.57404284875949	US
CLOROX CO	US310595760	24.91	1	New York Stock Exchange (NYSE)	Industrial company	6.619510825135912	7.2246742824640835	6.752432686059784	US
CLOUD PEAK ENERGY INC.	US263088162	16.76	1	New York Stock Exchange (NYSE)	Industrial company	6.255793587024955	5.012520875669524	6.050809583972135	US
CLOVIS ONCOLOGY, INC.	US900475355	15.13	1	NASDAQ National Market	Industrial company	5.853325190957331	5.806886484699297	0.0	US
CLUBCORP HOLDINGS, INC.	US205818205	12.89	1	New York Stock Exchange (NYSE)	Industrial company	6.32944913732407	5.898489326361359	6.022373926299401	US
CME GROUP INC	US364459170	17.189999999999998	1	NASDAQ National Market	Bank		7.523659000977949	6.477121399484465	US
CMS ENERGY CORP	US382726431	23.26	1	New York Stock Exchange (NYSE)	Industrial company	7.307474664964282	7.066087613119097	6.80996358898391	US
CNA FINANCIAL CORPORATION	US366169860	1.29	4	New York Stock Exchange (NYSE)	Insurance company	7.740733663278165	6.949990576687741	7.02792017713109	US
CNB FINANCIAL CORPORATION	US251450605	7.920000000000001	1	NASDAQ National Market	Bank	6.358920034343266	5.410799158370427	4.951857001153838	US
CNO FINANCIAL GROUP INC	US753108137	19.36	1	New York Stock Exchange (NYSE)	Insurance company	7.493110769378379	6.562509124950619	6.580697053760343	US
CNX COAL RESOURCES LP	US473445032	0.0	119	New York Stock Exchange (NYSE)	Industrial company	5.62544621775848	4.977096854902021	5.417572989088539	US
COACH INC	US522242751	18.36	1	New York Stock Exchange (NYSE)	Industrial company	6.669028588198261	7.041786372279751	6.622379935295928	US
COASTWAY BANCORP, INC	US464149994	0.0	100	NASDAQ National Market	Bank	4.850946278616009	4.7781657266251045	3.2127201544178425	US
COBALT INTERNATIONAL ENERGY, INC.	US270821169	17.29	1	New York Stock Exchange (NYSE)	Industrial company	6.608656516256374	5.934095784744181	0.0	US
COBIZ FINANCIAL INC	US840826324	10.11	1	NASDAQ National Market	Bank	6.525273950350018	5.720499160930624	5.156352250766401	US
COCA COLA BOTTLING CO CONSOLIDATED	US560950585	7.139999999999999	3	NASDAQ National Market	Industrial company	6.267363479898686	5.957453556956646	6.3629457389217325	US
COCA-COLA COMPANY (THE)	US580628465	15.45	1	New York Stock Exchange (NYSE)	Industrial company	7.954223211859115	8.287190545472596	7.64634491112111	US
COCA-COLA ENTERPRISES, INC.	US272197395	14.37	1	New York Stock Exchange (NYSE)	Industrial company	6.880585013239078	7.070046404568537	6.845780029056612	US
CODEXIS INC	US710872999	5.1	5	NASDAQ National Market	Industrial company	4.649802009508604	5.217991640285918	4.621228227768985	US
CODORUS VALLEY BANCORP, INC.	US232428543	0.43	16	NASDAQ National Market	Bank	6.163261287007797	5.237521118049538	4.7602565753727495	US
COEUR MINING, INC.	US820109423	14.75	1	New York Stock Exchange (NYSE)	Industrial company	6.124663958440737	6.047275646387035	5.8102910026327015	US
COFFEE HOLDING CO., INC.	US112238111	2.79	4	NASDAQ National Market	Industrial company	4.547479333931026	4.35791579857913	5.072452104524998	US
COGENT COMMUNICATIONS HOLDINGS, INC.	US522337274	19.48	1	NASDAQ National Market	Industrial company	5.821393638720612	6.255953090063111	5.6066339134563785	US
COGENTIX MEDICAL, INC.	US133430173	0.46	16	NASDAQ National Market	Industrial company	4.690266979462497	4.317290103960419	4.563753916974988	US
COGNEX CORP	US042713778	15.92	1	NASDAQ National Market	Industrial company	5.948294105416782	6.563356830920949	5.653750705323062	US
