Company_name	Company_ID	Big3Share	Position	Exchange	TypeEnt	Assets	MarketCap	Revenue	Country
ACI WORLDWIDE, INC.	US470772104	19.08	1	NASDAQ National Market	Industrial company	6.295740563212871	6.377036919566184	6.019522550134429	US
ACLARIS THERAPEUTICS, INC.	US460571712	1.95	14	NASDAQ National Market	Industrial company	4.973483459835176	5.608888507465341	0.0	US
ACME UNITED CORP	US060236700	0.0	115	NYSE MKT	Industrial company	4.910741765917318	4.787672964687493	5.040653756271325	US
ACNB CORPORATION	US232233457	0.0	111	NASDAQ National Market	Bank	6.059913892567613	5.174408732073123	4.6813588428727435	US
ACORDA THERAPEUTICS, INC.	US133831168	20.25	1	NASDAQ National Market	Industrial company	6.045829360350369	6.099396427019059	5.692548184042357	US
ACRE REALTY INVESTORS INC.	US582122873	0.0	103	NYSE MKT	Financial company	4.385909994786097	4.458456540444431	0.0	US
ACTINIUM PHARMACEUTICALS, INC.	US880378336	1.16	3	NYSE MKT	Industrial company	4.424702004023985	4.936458446837303	0.0	US
ACTIVE POWER INC	US742961657	3.71	7	NASDAQ National Market	Industrial company	4.485664652250255	4.101506496139928	4.759078314838251	US
ACTIVISION BLIZZARD, INC.	US954803544	16.48	4	NASDAQ National Market	Industrial company	7.18315594391981	7.463024681738779	6.6687586348672605	US
ACTUA CORPORATION	US232996071	14.34	2	NASDAQ National Market	Venture capital	5.653352430567462	5.565097777361913	5.125227446453378	US
ACTUANT CORP	US390168610	19.07	1	New York Stock Exchange (NYSE)	Industrial company	6.214026924348117	6.2003705399537505	6.096651096332006	US
ACUITY BRANDS, INC.	US582632672	17.97	1	New York Stock Exchange (NYSE)	Industrial company	6.381476270704773	7.050324141350242	6.432440283394411	US
ACURA PHARMACEUTICALS, INC.	US110853640	0.0	113	NASDAQ National Market	Industrial company	4.229477058873163	4.458743577420048	3.933892035764211	US
ACXIOM CORP	US710581897	18.88	1	NASDAQ National Market	Industrial company	6.12137105083216	6.2205638580086715	6.008625717744802	US
ADAMAS PHARMACEUTICALS, INC.	US421560076	4.24	7	NASDAQ National Market	Industrial company	5.109726998275479	5.549324570127729	3.2826221128780624	US
ADAMIS PHARMACEUTICALS CORPORATION	US820429727	0.38	15	NASDAQ National Market	Industrial company	4.081455327822574	5.121592669438407	0.0	US
ADAMS RESOURCES & ENERGY INC	US741753147	6.61	5	NYSE MKT	Industrial company	5.385992141666258	5.210981630280577	6.2887588087890185	US
ADCARE HEALTH SYSTEMS, INC.	US311332119	0.17	14	NYSE MKT	Industrial company	5.235493095917974	4.585483289674834	4.264841425329148	US
ADDUS HOMECARE CORP	US205340172	5.6	6	NASDAQ National Market	Industrial company	5.284685595549336	5.353429563904883	5.527392713904403	US
ADDVANTAGE TECHNOLOGIES GROUP INC	US731351610	0.0	115	NASDAQ National Market	Industrial company	4.715786142088935	4.241347217238199	4.640829130861392	US
ADEPTUS HEALTH INC.	US465037387	6.96	5	New York Stock Exchange (NYSE)	Industrial company	5.717340913190249	6.022770969840222	5.57242430408497	US
