C	METRO_ID	Metropolitan areas	LABOUR_PRODUCTIVITY	UNEMP_R	GDP_PC
ES	ES005	Zaragoza	1.0602380543929943	0.41322358656051816	1.1693906281434456
ES	ES005	Zaragoza	1.054370158467787	0.4003994062879504	1.2140252627147319
ES	ES005	Zaragoza	1.0759861269610929	0.5443152071245446	1.211313410354455
ES	ES005	Zaragoza	1.1047489580550025	0.973212791795979	1.1502662779537065
ES	ES005	Zaragoza	1.1544931791311153	1.1100040480367022	1.141021111551482
ES	ES005	Zaragoza	1.177524123815671	1.3030792065848065	1.1149942087230857
ES	ES005	Zaragoza	1.1336040529140528	1.407097557684523	1.059955882203831
ES	ES006	Málaga		1.347963837538794	0.6668221832820492
ES	ES006	Málaga		1.0252219673458374	0.7078288119492572
ES	ES006	Málaga		1.0750937795169344	0.7181924241521128
ES	ES006	Málaga	0.8763916321943004	1.1741249493995414	0.7458171517797737
ES	ES006	Málaga	0.883878651147419	1.0736688705977602	0.7846774627579038
ES	ES006	Málaga	0.8687914045408514	0.8300094454189718	0.8331790037612249
ES	ES006	Málaga	0.8508475604127135	0.7958116313587911	0.8433848216919824
ES	ES006	Málaga	0.8185280672229422	0.7737255431115909	0.843870196872956
ES	ES006	Málaga	0.8580943754255527	1.3180407502361355	0.8389028331873094
ES	ES006	Málaga	0.9058335829273118	1.8773175010120093	0.8011281468012137
ES	ES006	Málaga	0.9354019986487484	2.1131399271353395	0.7845143034805545
ES	ES006	Málaga	0.9370032256877313	2.222145459452166	0.7565664131836368
ES	ES006	Málaga	0.9430601562811722	2.4472810686816895	0.7149121968237385
ES	ES008	Las Palmas		0.9497017946296047	0.891031117740532
ES	ES008	Las Palmas	0.9527254484940448	0.681818917824855	0.915168591954826
ES	ES008	Las Palmas	0.931620775032559	0.7858372689245716	0.9172757766644234
ES	ES008	Las Palmas	0.9145322266123043	0.7929618135204427	0.9301868195960297
ES	ES008	Las Palmas	0.8984528794047143	0.8285845364997977	0.9236481405488308
